PRISM Time Series Data
Location:  Lat: 44.2192   Lon: -114.9517   Elev: 1943m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2019-10-01 - 2023-04-01
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2023-Apr-17
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
2019-10-01,0.00,-9.4,-2.4,4.6,-6.5,0.47,5.18
2019-10-02,2.79,-5.7,-0.7,4.3,-3.9,0.26,3.98
2019-10-03,0.02,-8.4,0.2,8.8,-5.9,0.27,7.56
2019-10-04,0.52,-8.4,1.9,12.2,-4.3,0.34,10.53
2019-10-05,0.00,-7.6,-1.1,5.4,-3.5,0.35,4.13
2019-10-06,0.00,-9.8,-1.7,6.5,-5.5,0.32,5.43
2019-10-07,0.00,-10.2,2.1,14.5,-8.2,0.46,14.04
2019-10-08,0.00,-9.9,3.8,17.5,-7.0,0.27,17.08
2019-10-09,3.54,-4.8,4.3,13.3,-2.7,0.11,9.86
2019-10-10,1.71,-11.6,-5.5,0.6,-9.7,0.36,3.12
2019-10-11,0.00,-14.0,-5.2,3.7,-12.8,0.42,5.74
2019-10-12,0.00,-14.1,-2.3,9.6,-11.2,0.35,9.77
2019-10-13,0.00,-11.5,1.7,14.8,-10.7,0.36,14.66
2019-10-14,0.00,-9.9,2.8,15.6,-9.2,0.22,15.43
2019-10-15,0.00,-8.7,2.0,12.7,-7.1,0.17,11.07
2019-10-16,0.00,-9.8,3.9,17.5,-9.2,0.05,17.54
2019-10-17,0.00,-7.0,5.8,18.6,-8.0,0.63,19.12
2019-10-18,0.72,-2.9,3.7,10.2,-1.1,0.49,6.65
2019-10-19,0.04,-8.8,-2.2,4.4,-5.5,0.31,4.48
2019-10-20,9.81,-6.5,-3.0,0.5,-3.5,0.45,1.86
2019-10-21,0.08,-5.4,-1.7,2.1,-4.6,0.51,3.07
2019-10-22,0.03,-3.8,0.0,3.8,-1.8,0.47,3.29
2019-10-23,0.12,-4.5,1.9,8.3,-1.2,0.63,5.28
2019-10-24,0.00,-10.6,-0.6,9.5,-9.6,0.32,9.12
2019-10-25,0.00,-10.8,-0.7,9.4,-8.5,0.35,9.40
2019-10-26,0.00,-9.5,3.2,15.9,-3.0,0.38,12.01
2019-10-27,0.00,-12.1,-4.2,3.7,-10.2,0.93,4.77
2019-10-28,0.00,-16.5,-10.4,-4.2,-17.9,0.30,3.60
2019-10-29,0.00,-17.3,-10.2,-3.2,-14.3,0.41,3.09
2019-10-30,0.00,-23.2,-13.9,-4.7,-23.1,0.23,3.51
2019-10-31,0.00,-23.4,-10.6,2.1,-19.5,0.19,5.96
2019-11-01,0.00,-17.0,-6.0,5.0,-17.5,0.24,7.41
2019-11-02,0.00,-17.1,-4.5,8.2,-15.1,0.20,9.50
2019-11-03,0.00,-14.3,-1.2,12.0,-12.2,0.29,11.76
2019-11-04,0.00,-10.2,0.6,11.4,-7.0,0.19,9.38
2019-11-05,0.00,-11.1,-0.1,10.8,-6.2,0.17,8.44
2019-11-06,0.00,-11.5,1.1,13.6,-7.8,0.29,12.25
2019-11-07,0.00,-12.9,0.2,13.2,-10.6,0.21,12.76
2019-11-08,0.00,-13.0,-0.7,11.6,-10.6,0.25,11.04
2019-11-09,0.00,-12.7,1.6,15.9,-10.4,0.27,15.79
2019-11-10,0.00,-11.5,1.6,14.7,-8.0,0.31,13.45
2019-11-11,0.00,-10.9,-0.3,10.4,-4.7,0.30,7.06
2019-11-12,0.00,-12.7,-2.7,7.2,-10.0,0.19,6.89
2019-11-13,0.00,-12.7,-1.0,10.8,-7.2,0.24,10.07
2019-11-14,0.00,-12.1,-0.8,10.5,-6.6,0.40,8.61
2019-11-15,0.00,-12.5,-2.7,7.1,-7.3,0.33,5.89
2019-11-16,0.00,-6.1,2.6,11.3,-4.0,0.58,9.28
2019-11-17,0.00,-5.6,1.4,8.4,-6.7,0.20,7.81
2019-11-18,0.00,-5.3,2.3,10.0,-3.4,0.11,7.31
2019-11-19,0.94,-4.1,2.2,8.5,-1.9,0.36,5.79
2019-11-20,2.48,-9.0,-1.5,6.0,-3.0,0.26,3.65
2019-11-21,0.00,-14.0,-5.2,3.6,-9.3,0.21,4.42
2019-11-22,0.00,-15.2,-5.6,3.9,-11.4,0.20,4.81
2019-11-23,0.00,-15.5,-4.4,6.6,-10.9,0.28,6.50
2019-11-24,0.00,-15.3,-4.1,7.1,-10.7,0.30,6.98
2019-11-25,0.00,-9.9,-2.8,4.3,-8.8,0.63,4.30
2019-11-26,0.00,-13.4,-6.7,-0.1,-13.3,0.41,4.04
2019-11-27,0.01,-12.9,-8.4,-3.8,-13.6,0.48,2.64
2019-11-28,2.82,-12.4,-7.3,-2.2,-11.4,0.36,2.52
2019-11-29,0.84,-14.8,-8.9,-3.0,-11.5,0.35,1.95
2019-11-30,1.13,-13.0,-8.6,-4.2,-10.2,0.41,1.18
2019-12-01,0.00,-20.3,-11.1,-1.8,-16.1,0.28,2.91
2019-12-02,4.40,-15.9,-9.2,-2.5,-10.7,0.38,1.33
2019-12-03,0.89,-17.9,-8.6,0.6,-8.7,0.18,1.67
2019-12-04,0.00,-18.0,-8.8,0.5,-10.6,0.25,2.44
2019-12-05,0.00,-14.3,-8.1,-1.8,-10.7,0.35,1.95
2019-12-06,0.00,-15.2,-8.5,-1.9,-11.5,0.31,1.94
2019-12-07,0.00,-14.5,-8.5,-2.4,-11.4,0.37,1.69
2019-12-08,15.37,-10.6,-4.3,2.1,-4.3,0.30,1.51
2019-12-09,2.53,-16.0,-6.6,2.8,-6.8,0.09,2.29
2019-12-10,0.00,-19.9,-11.9,-3.9,-15.2,0.29,1.54
2019-12-11,0.00,-17.7,-11.8,-5.8,-15.1,0.32,1.21
2019-12-12,0.03,-12.1,-6.1,-0.0,-6.9,0.34,1.48
2019-12-13,9.55,-4.8,-0.3,4.2,-4.7,0.46,3.93
2019-12-14,2.83,-11.7,-6.6,-1.5,-8.5,0.30,2.26
2019-12-15,0.00,-21.6,-12.4,-3.2,-15.0,0.27,2.44
2019-12-16,0.00,-21.0,-15.1,-9.2,-17.6,0.30,1.05
2019-12-17,0.00,-29.2,-20.0,-10.8,-23.0,0.17,1.00
2019-12-18,0.00,-29.9,-21.7,-13.5,-23.2,0.09,0.50
2019-12-19,0.00,-23.4,-16.1,-8.8,-18.1,0.23,0.98
2019-12-20,0.00,-10.2,-3.8,2.6,-6.5,0.37,2.62
2019-12-21,0.00,-6.1,-0.1,5.8,-5.5,0.79,4.82
2019-12-22,0.00,-7.5,-1.4,4.6,-9.5,0.72,6.06
2019-12-23,0.00,-6.7,-0.2,6.3,-11.5,0.87,7.09
2019-12-24,3.39,-5.0,-1.0,3.0,-5.8,0.30,3.83
2019-12-25,4.49,-19.1,-9.8,-0.4,-9.8,0.13,1.25
2019-12-26,0.00,-15.7,-11.8,-7.9,-14.8,0.35,0.88
2019-12-27,0.00,-26.5,-12.8,0.8,-18.4,0.18,2.08
2019-12-28,0.00,-24.7,-18.0,-11.3,-18.1,0.19,0.71
2019-12-29,0.50,-18.1,-11.3,-4.5,-15.5,0.27,2.21
2019-12-30,0.06,-10.3,-7.0,-3.8,-9.6,0.36,1.30
2019-12-31,0.00,-16.7,-10.5,-4.4,-12.3,0.22,1.31
2020-01-01,5.03,-10.5,-5.3,-0.1,-7.6,0.43,1.58
2020-01-02,3.28,-5.6,-2.1,1.3,-6.8,0.62,2.76
2020-01-03,0.00,-8.4,-4.8,-1.2,-9.4,0.49,2.57
2020-01-04,0.12,-15.8,-5.7,4.3,-10.3,0.29,5.05
2020-01-05,2.26,-18.1,-6.8,4.4,-11.6,0.21,6.22
2020-01-06,1.81,-16.6,-10.7,-4.8,-11.6,0.29,1.64
2020-01-07,1.12,-8.5,-5.5,-2.5,-6.7,0.41,0.94
2020-01-08,1.36,-4.6,-0.1,4.4,-4.9,0.56,4.15
2020-01-09,1.39,-10.7,-5.7,-0.7,-8.1,0.41,2.79
2020-01-10,0.29,-26.0,-14.6,-3.2,-14.7,0.20,2.32
2020-01-11,4.76,-27.4,-15.9,-4.5,-16.0,0.21,1.86
2020-01-12,2.65,-8.1,-5.2,-2.2,-8.0,0.57,1.30
2020-01-13,5.47,-10.3,-7.5,-4.6,-10.2,0.52,1.47
2020-01-14,2.53,-10.3,-8.1,-6.0,-12.3,0.53,1.61
2020-01-15,1.74,-18.5,-10.4,-2.3,-14.3,0.34,2.80
2020-01-16,0.00,-28.0,-15.6,-3.2,-15.8,0.21,2.30
2020-01-17,3.96,-6.1,-2.7,0.6,-7.6,0.56,3.28
2020-01-18,0.58,-18.7,-10.9,-3.2,-13.3,0.25,2.76
2020-01-19,0.04,-17.0,-11.1,-5.2,-11.2,0.37,1.43
2020-01-20,0.00,-19.7,-11.3,-2.9,-13.9,0.25,1.68
2020-01-21,0.00,-15.6,-10.1,-4.6,-11.1,0.34,1.21
2020-01-22,1.93,-17.5,-7.4,2.8,-7.5,0.07,3.27
2020-01-23,0.00,-18.3,-9.9,-1.4,-11.3,0.25,2.52
2020-01-24,0.62,-8.2,-4.2,-0.1,-6.7,0.41,1.64
2020-01-25,1.14,-12.9,-6.1,0.7,-7.5,0.24,1.48
2020-01-26,0.00,-13.0,-6.8,-0.5,-8.8,0.28,1.90
2020-01-27,4.59,-9.7,-5.1,-0.5,-6.4,0.29,1.36
2020-01-28,0.88,-11.5,-5.9,-0.4,-10.1,0.36,3.01
2020-01-29,5.20,-9.8,-5.1,-0.5,-5.4,0.22,0.74
2020-01-30,0.06,-13.5,-8.1,-2.7,-8.3,0.15,1.65
2020-01-31,0.00,-19.4,-11.0,-2.6,-12.4,0.25,1.37
2020-02-01,0.00,-13.2,-7.1,-0.9,-8.0,0.30,2.03
2020-02-02,2.30,-13.0,-2.7,7.7,-10.4,0.36,9.64
2020-02-03,2.81,-13.0,-5.7,1.7,-12.1,0.44,3.09
2020-02-04,0.00,-32.5,-19.4,-6.3,-24.8,0.08,2.87
2020-02-05,0.00,-33.0,-21.1,-9.1,-21.1,0.13,1.69
2020-02-06,5.58,-10.8,-7.7,-4.6,-9.6,0.41,1.14
2020-02-07,1.39,-5.1,-1.2,2.8,-4.0,0.41,2.60
2020-02-08,1.67,-2.8,0.9,4.5,-4.5,0.62,4.52
2020-02-09,0.06,-19.1,-10.0,-0.8,-12.4,0.23,3.09
2020-02-10,0.00,-18.2,-9.8,-1.3,-15.5,0.29,3.43
2020-02-11,0.00,-23.4,-12.3,-1.1,-17.7,0.19,3.85
2020-02-12,0.00,-23.1,-12.0,-1.0,-14.1,0.23,3.10
2020-02-13,0.00,-22.1,-10.3,1.5,-14.6,0.17,4.42
2020-02-14,0.58,-22.5,-10.4,1.7,-15.4,0.24,4.45
2020-02-15,0.00,-14.3,-7.4,-0.4,-14.8,0.48,3.58
2020-02-16,1.96,-11.7,-5.9,-0.1,-9.6,0.28,3.23
2020-02-17,1.63,-18.5,-8.9,0.7,-10.5,0.24,3.03
2020-02-18,0.00,-30.2,-16.8,-3.5,-18.6,0.13,2.58
2020-02-19,0.00,-33.7,-20.5,-7.3,-24.1,0.03,2.01
2020-02-20,0.00,-34.0,-20.6,-7.2,-24.7,0.07,2.29
2020-02-21,0.00,-32.6,-17.6,-2.6,-22.9,0.12,3.23
2020-02-22,0.00,-27.7,-13.2,1.3,-19.8,0.19,5.82
2020-02-23,0.00,-24.0,-10.9,2.1,-16.0,0.19,5.01
2020-02-24,2.00,-22.1,-9.0,4.2,-12.6,0.30,4.94
2020-02-25,0.16,-25.9,-13.9,-1.9,-16.3,0.18,3.10
2020-02-26,0.00,-26.9,-14.5,-2.2,-19.1,0.17,4.10
2020-02-27,0.00,-22.1,-8.2,5.7,-14.2,0.24,6.31
2020-02-28,0.00,-22.7,-9.1,4.5,-14.4,0.23,6.68
2020-02-29,0.00,-19.9,-5.9,8.0,-12.3,0.31,8.35
2020-03-01,0.00,-11.6,-3.5,4.5,-10.6,0.49,5.14
2020-03-02,0.00,-20.8,-10.2,0.4,-15.8,0.28,4.28
2020-03-03,0.00,-17.8,-7.7,2.3,-9.6,0.34,3.70
2020-03-04,0.00,-8.2,-0.2,7.8,-7.4,0.92,7.11
2020-03-05,0.00,-14.9,-5.0,5.0,-10.0,0.32,5.74
2020-03-06,0.00,-15.5,-2.3,10.9,-8.7,0.08,9.59
2020-03-07,0.00,-8.7,1.7,12.0,-6.4,0.64,10.57
2020-03-08,0.00,-5.2,-0.8,3.7,-1.9,0.14,2.37
2020-03-09,3.34,-4.9,-2.8,-0.8,-6.1,0.42,3.93
2020-03-10,0.01,-8.6,-2.7,3.1,-4.5,0.33,3.25
2020-03-11,0.04,-13.9,-4.2,5.6,-9.1,0.25,6.02
2020-03-12,0.00,-13.7,-2.9,7.8,-8.8,0.28,6.51
2020-03-13,0.00,-17.6,-5.7,6.3,-16.4,0.26,7.66
2020-03-14,0.00,-18.2,-5.7,6.8,-12.0,0.30,7.76
2020-03-15,6.70,-4.0,0.3,4.6,-5.8,0.54,5.07
2020-03-16,1.59,-10.6,-2.1,6.3,-6.0,0.14,5.49
2020-03-17,1.63,-8.5,0.9,10.3,-5.3,0.32,8.58
2020-03-18,5.87,-2.1,2.2,6.4,-2.2,0.51,4.75
2020-03-19,1.68,-9.0,-1.9,5.2,-5.2,0.28,4.58
2020-03-20,0.00,-8.9,-0.5,7.9,-7.6,0.49,7.83
2020-03-21,0.00,-9.1,-0.4,8.3,-5.5,0.43,6.74
2020-03-22,0.00,-11.8,-2.2,7.4,-9.2,0.43,7.43
2020-03-23,0.00,-10.9,-1.9,7.1,-11.4,0.40,7.96
2020-03-24,0.73,-6.6,-0.3,6.0,-4.9,0.43,5.73
2020-03-25,3.13,-7.1,-2.9,1.4,-5.5,0.17,2.83
2020-03-26,1.55,-15.9,-7.8,0.3,-10.6,0.28,3.50
2020-03-27,0.23,-19.6,-9.9,-0.2,-14.7,0.20,3.79
2020-03-28,0.00,-16.7,-7.9,1.0,-11.1,0.29,3.61
2020-03-29,0.00,-10.4,-2.8,4.9,-8.5,0.41,5.21
2020-03-30,0.00,-9.2,-1.4,6.5,-5.5,0.27,5.77
2020-03-31,3.99,-2.8,2.0,6.8,-2.3,0.33,5.61
2020-04-01,11.32,-16.5,-7.7,1.1,-7.7,0.13,1.53
2020-04-02,0.06,-22.7,-11.8,-0.8,-15.5,0.20,3.75
2020-04-03,0.00,-22.9,-11.6,-0.4,-15.9,0.25,3.93
2020-04-04,0.00,-21.1,-9.9,1.4,-14.1,0.21,4.54
2020-04-05,2.51,-17.4,-5.7,5.9,-9.0,0.24,6.94
2020-04-06,1.70,-4.7,2.0,8.6,-4.2,0.35,7.77
2020-04-07,0.96,-4.7,1.9,8.5,-2.5,0.29,6.13
2020-04-08,0.00,-8.3,1.0,10.4,-5.4,0.41,8.50
2020-04-09,0.00,-9.1,2.8,14.8,-8.4,0.15,14.25
2020-04-10,0.00,-8.5,3.8,16.1,-6.5,0.44,14.28
2020-04-11,0.00,-6.6,3.8,14.1,-5.2,0.28,12.25
2020-04-12,1.96,-11.1,-1.5,8.0,-6.4,0.47,6.24
2020-04-13,0.00,-14.1,-6.0,2.1,-14.9,0.37,5.29
2020-04-14,0.00,-13.9,-5.0,4.0,-16.0,0.41,6.22
2020-04-15,1.19,-10.1,-1.8,6.4,-8.9,0.51,6.93
2020-04-16,2.57,-9.6,-2.0,5.6,-6.2,0.49,4.83
2020-04-17,0.09,-13.7,-4.5,4.6,-14.4,0.53,6.53
